===============================================================================
Id,newsRACE,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
31,newsRACE,31,2021-03-05 15:34:00,186.52999877929688,186.60000610351562,186.44000244140625,186.44000244140625,4.088192131564321e-06,,-0.02657715436970265,MA_cross_Sentiment,31,737854.6486111111,Broker,31,1000.0,1000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,,DrawDown,31,0.0,0.0
32,newsRACE,32,2021-03-05 15:36:00,186.6699981689453,186.75999450683594,186.32000732421875,186.32000732421875,3.095869404854365e-06,,-0.028672190797822683,MA_cross_Sentiment,32,737854.65,Broker,32,1000.0,1000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,,DrawDown,32,0.0,0.0
33,newsRACE,33,2021-03-05 15:38:00,186.3300018310547,186.3300018310547,186.0,186.0399932861328,2.190888828342957e-06,,-0.027061993574912457,MA_cross_Sentiment,33,737854.651388889,Broker,33,1000.0,1000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,DrawDown,33,0.0,0.0
34,newsRACE,34,2021-03-05 15:40:00,186.01499938964844,186.13999938964844,185.82000732421875,185.88499450683594,1.3732504020300925e-06,,-0.021746562700971972,MA_cross_Sentiment,34,737854.6527777778,Broker,34,1000.0,1000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,DrawDown,34,0.0,0.0
35,newsRACE,35,2021-03-05 15:42:00,185.8800048828125,186.118896484375,185.8800048828125,186.118896484375,6.429541259157724e-07,,-0.012725898176001171,MA_cross_Sentiment,35,737854.6541666667,Broker,35,1000.0,1000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,,DrawDown,35,0.0,0.0
36,newsRACE,36,2021-03-05 15:44:00,186.11000061035156,186.11000061035156,185.80999755859375,185.80999755859375,0.0,,0.0,MA_cross_Sentiment,36,737854.6555555556,Broker,36,1000.0,1000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,,DrawDown,36,0.0,0.0
37,newsRACE,37,2021-03-05 15:46:00,186.02999877929688,186.25,185.94000244140625,186.25,-5.55611975717229e-07,,0.01643113182703143,MA_cross_Sentiment,37,737854.6569444444,Broker,37,1000.0,1000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,DrawDown,37,0.0,0.0
38,newsRACE,38,2021-03-05 15:48:00,186.14999389648438,186.33999633789062,186.0399932861328,186.0399932861328,-1.023881801235913e-06,,0.036567497305093066,MA_cross_Sentiment,38,737854.6583333333,Broker,38,1000.0,1000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,DrawDown,38,0.0,0.0
39,newsRACE,39,2021-03-05 15:50:00,186.02999877929688,186.14999389648438,185.97000122070312,186.14999389648438,-1.4048094765560506e-06,,0.06040909643418513,MA_cross_Sentiment,39,737854.6597222222,Broker,39,1000.0,1000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,DrawDown,39,0.0,0.0
40,newsRACE,40,2021-03-05 15:52:00,186.2899932861328,186.3699951171875,186.28500366210938,186.3699951171875,-1.6983950016776438e-06,,0.08795592921430745,MA_cross_Sentiment,40,737854.661111111,Broker,40,1000.0,1000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,,DrawDown,40,0.0,0.0
41,newsRACE,41,2021-03-05 15:54:00,186.3000030517578,186.3000030517578,185.85000610351562,185.9199981689453,-1.9046383766006914e-06,,0.11920799564546014,MA_cross_Sentiment,41,737854.6625,Broker,41,1000.0,1000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,,DrawDown,41,0.0,0.0
42,newsRACE,42,2021-03-05 15:56:00,186.02000427246094,186.11500549316406,185.72000122070312,186.11500549316406,-2.023539601325194e-06,,0.15416529572764304,MA_cross_Sentiment,42,737854.6638888889,Broker,42,1000.0,1000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,,DrawDown,42,0.0,0.0
43,newsRACE,43,2021-03-05 15:58:00,186.0850067138672,186.13999938964844,185.67999267578125,185.94000244140625,-2.0550986758511516e-06,,0.1928278294608563,MA_cross_Sentiment,43,737854.6652777778,Broker,43,1000.0,1000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,,DrawDown,43,0.0,0.0
44,newsRACE,44,2021-03-05 16:00:00,185.86000061035156,185.88999938964844,185.61000061035156,185.8800048828125,-1.9993156001785633e-06,,0.23519559684509972,MA_cross_Sentiment,44,737854.6666666666,Broker,44,1000.0,1000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,,DrawDown,44,0.0,0.0
45,newsRACE,45,2021-03-05 16:02:00,185.77999877929688,185.77999877929688,185.77999877929688,185.77999877929688,-1.8561903743074301e-06,,0.28126859788037367,MA_cross_Sentiment,45,737854.6680555556,Broker,45,1000.0,1000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,,DrawDown,45,0.0,0.0
46,newsRACE,46,2021-03-05 16:04:00,185.57000732421875,185.57000732421875,185.52999877929688,185.5500030517578,-1.625722998237752e-06,,0.33104683256667783,MA_cross_Sentiment,46,737854.6694444445,Broker,46,1000.0,1000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,,DrawDown,46,0.0,0.0
