===============================================================================
Id,newsF,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
36,newsF,36,2021-03-05 15:40:00,11.895000457763672,11.944999694824219,11.890000343322754,11.914999961853027,0.1637454778099827,,0.7029598297312327,MA_cross_Sentiment,36,737854.6527777778,Broker,36,1000.0,1000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,,DrawDown,36,0.0,0.0
37,newsF,37,2021-03-05 15:42:00,11.90999984741211,12.010000228881836,11.90999984741211,11.96500015258789,0.08467253765546376,,0.586322371217799,MA_cross_Sentiment,37,737854.6541666667,Broker,37,1000.0,1000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,DrawDown,37,0.0,0.0
38,newsF,38,2021-03-05 15:44:00,11.960000038146973,11.970000267028809,11.904999732971191,11.914999961853027,0.01582886247283838,,0.4799830183799897,MA_cross_Sentiment,38,737854.6555555556,Broker,38,1000.0,1000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,DrawDown,38,0.0,0.0
39,newsF,39,2021-03-05 15:46:00,11.914999961853027,11.97760009765625,11.910499572753906,11.962200164794922,-0.04278554773789355,,0.38394177121780504,MA_cross_Sentiment,39,737854.6569444444,Broker,39,1000.0,1000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,DrawDown,39,0.0,0.0
40,newsF,40,2021-03-05 15:48:00,11.969900131225586,11.994999885559082,11.954999923706055,11.979999542236328,-0.09117069297673205,,0.2981986297312449,MA_cross_Sentiment,40,737854.6583333333,Broker,40,1000.0,1000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,,DrawDown,40,0.0,0.0
41,newsF,41,2021-03-05 15:50:00,11.984999656677246,12.010000228881836,11.960100173950195,11.994999885559082,-0.1293265732436771,,0.2227535939203093,MA_cross_Sentiment,41,737854.6597222222,Broker,41,1000.0,1000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,,DrawDown,41,0.0,0.0
42,newsF,42,2021-03-05 15:52:00,12.015000343322754,12.020000457763672,11.984999656677246,11.984999656677246,-0.15725318853872863,,0.1576066637849983,MA_cross_Sentiment,42,737854.661111111,Broker,42,1000.0,1000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,,DrawDown,42,0.0,0.0
43,newsF,43,2021-03-05 15:54:00,11.984999656677246,12.015000343322754,11.970000267028809,11.982399940490723,-0.1749505388618867,,0.10275783932531189,MA_cross_Sentiment,43,737854.6625,Broker,43,1000.0,1000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,,DrawDown,43,0.0,0.0
44,newsF,44,2021-03-05 15:56:00,11.989999771118164,12.029999732971191,11.979999542236328,12.010000228881836,-0.18241862421315128,,0.05820712054125002,MA_cross_Sentiment,44,737854.6638888889,Broker,44,1000.0,1000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,,DrawDown,44,0.0,0.0
45,newsF,45,2021-03-05 15:58:00,12.012499809265137,12.020000457763672,11.949999809265137,11.979900360107422,-0.1796574445925224,,0.023954507432812737,MA_cross_Sentiment,45,737854.6652777778,Broker,45,1000.0,1000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,,DrawDown,45,0.0,0.0
